,name,lat,temp,humidity,cloudiness,wind_speed
285,Independence,39.09,25.25,68,1,4.7
286,Bangolo,7.01,71.81,74,64,0.36
287,Avera,33.19,42.51,100,90,11.41
288,Amahai,-3.31,86.34,99,12,8.63
289,Port Augusta,-32.49,75.2,64,8,18.34
290,Kavieng,-2.57,84.09,100,44,6.62
291,Novokruchininskiy,51.78,-16.61,68,12,2.24
292,Luderitz,-26.65,57.14,82,0,20.04
293,Yar-Sale,66.83,14.16,92,68,3.38
294,Coquimbo,-29.95,60.8,82,0,6.93
295,Mercedes,-33.25,67.4,48,36,9.31
296,Soria,41.76,29.06,89,0,3.6
297,Yabrud,33.97,44.6,93,0,6.93
298,Baghdad,33.3,53.6,87,75,5.82
299,Manturovo,58.33,17.36,88,88,4.16
300,Constitucion,23.99,51.8,40,5,8.05
301,Carnarvon,-30.97,47.28,95,0,12.77
302,Adrar,27.87,50.84,64,0,10.2
303,Ordu,40.98,37.4,74,0,2.26
304,Paita,-5.09,67.44,88,0,6.17
305,Ternate,14.29,87.8,55,75,5.82
306,Villa de Cura,10.04,61.91,98,0,2.71
307,Qeshm,26.96,58.53,71,0,4.7
308,Port Antonio,18.18,80.6,61,20,3.36
309,Coffs Harbour,-30.3,79.95,61,0,18.34
310,Sibolga,1.74,76.62,93,36,1.92
311,Villarrica,-39.28,59.0,87,20,2.24
312,Torrington,42.06,28.15,63,1,5.82
313,Chuy,-33.69,61.64,68,0,16.24
314,Yatou,3.63,80.13,100,92,6.96
315,Lasa,34.92,57.45,63,75,6.93
316,Chokurdakh,70.62,-31.61,0,36,4.38
317,Port Hedland,-20.31,104.0,26,24,13.87
318,Gravelbourg,49.88,-2.18,45,0,4.05
319,Quelimane,-17.88,82.4,88,75,6.93
320,Geraldton,49.72,19.4,67,75,13.87
321,Yumen,40.29,3.54,76,24,11.43
322,Changli,30.54,39.81,100,92,4.27
323,Solnechnyy,50.72,-8.48,64,56,0.69
324,Saint-Leu,-21.15,81.46,39,0,4.7
325,Les Cayes,18.19,79.82,100,0,10.09
326,Karratha,-20.74,109.16,12,36,6.96
327,Padang,-0.92,81.66,100,36,4.94
328,Porto Franco,-6.34,72.93,92,12,2.37
329,Toowoomba,-27.56,78.8,47,90,13.87
330,Nyalikungu,-2.6,69.8,94,40,11.41
331,Makakilo City,21.35,73.6,64,20,13.87
332,Chicama,-7.84,68.0,88,75,8.05
333,Edson,53.59,15.8,72,1,3.71
334,Kargopol,61.51,22.17,83,76,16.69
335,Victoria Point,-27.58,80.06,69,75,13.87
336,Nabannagan,18.07,74.64,100,92,5.28
337,Kyshtovka,56.56,-8.66,50,0,3.27
338,Roseburg,43.22,45.66,92,90,2.71
339,Broken Hill,-31.97,100.4,11,0,11.41
340,Anzio,41.45,41.05,100,0,3.36
341,Kangaatsiaq,68.31,10.34,100,8,3.49
342,Helong,25.94,38.87,99,92,3.49
343,Lipetsk,52.6,18.71,83,76,9.75
344,Bassar,9.26,68.0,42,0,6.93
345,Guaruja,-23.99,59.0,77,75,9.17
346,Saldanha,41.42,28.7,81,0,1.03
347,Crib Point,-38.35,66.72,93,88,6.29
348,Cabo San Lucas,22.89,67.19,82,5,5.82
349,Berezovyy,51.67,-11.67,55,56,3.49
350,Poum,41.28,39.2,80,90,6.93
351,Skjervoy,70.03,26.54,100,8,7.63
352,Urucui,-7.23,71.67,97,32,3.15
353,Northam,51.04,51.8,71,92,26.4
354,Acapulco,16.86,78.8,88,5,3.83
355,Kyabe,9.45,64.61,56,0,4.16
356,Bereda,43.27,53.6,93,64,3.36
357,Rundu,-17.91,59.75,67,0,1.03
358,Ondo,7.1,73.47,89,36,2.15
359,Suzhou,31.3,37.79,100,100,10.42
360,Tacoronte,28.48,60.8,67,0,10.29
361,Oblivskaya,48.54,22.89,90,76,4.27
362,Katsuura,33.93,44.51,48,75,17.22
363,Zhangjiakou,40.77,7.91,27,44,2.37
364,Itoman,26.12,65.98,72,75,12.75
365,Labytnangi,66.66,2.15,49,12,2.93
366,Cocobeach,1.01,77.0,94,20,4.7
367,Umea,63.83,37.4,93,75,12.75
368,Ivanovskoye,51.61,31.89,92,92,14.0
369,Elesbao Veloso,-6.2,71.58,91,44,2.71
370,Hun,50.34,47.14,81,75,18.34
371,Mandali,33.75,50.39,92,0,4.38
372,Alegrete,-29.79,62.04,54,0,10.09
373,Newport,51.59,49.14,100,76,26.4
374,Nova Borova,50.69,34.59,98,92,6.73
375,Bohumin,49.9,42.8,75,90,10.29
376,Chabahar,25.29,74.42,100,0,12.66
377,Teya,21.05,77.0,78,5,6.93
378,Lamont,53.76,15.8,66,1,8.05
379,Mnogovershinnyy,53.94,17.67,76,76,11.54
380,Kindu,-2.95,69.06,100,92,0.58
381,Katangli,51.71,9.03,100,88,17.81
382,Maragogi,-9.01,76.98,97,80,5.73
383,Toora-Khem,52.47,-16.85,64,48,2.15
384,Mersing,2.43,83.37,94,80,4.83
385,Inirida,3.87,71.94,97,8,2.15
386,Ribeirao Branco,-24.22,55.74,78,8,8.97
387,Paamiut,61.99,27.93,100,48,14.0
388,Escanaba,45.75,21.07,85,90,13.87
389,Vila Velha,-3.71,82.4,78,40,4.7
390,Coahuayana,18.62,63.03,84,8,2.15
391,Marawi,8.0,77.97,87,68,2.15
392,Mahon,51.89,46.4,87,40,28.86
393,Yeniseysk,58.45,-16.76,74,48,3.94
394,Kaeo,-35.1,78.42,34,0,15.79
395,Faya,18.39,51.85,87,0,5.82
396,Emmen,52.79,45.5,93,92,13.87
397,Tazovskiy,67.47,15.92,84,80,9.64
398,Praia da Vitoria,38.73,62.6,88,0,17.13
399,Husavik,50.56,0.26,74,0,7.63
400,Victoria,5.28,89.6,74,75,3.36
401,Cuamba,-14.8,69.33,87,44,3.38
402,Dauphin,51.15,14.0,72,1,17.22
403,Zhanaozen,43.35,34.64,84,92,5.95
404,Kidal,18.44,49.49,72,0,4.72
405,Liwale,-9.8,71.31,95,64,2.93
406,San Patricio,-26.98,57.77,80,0,2.04
407,Riyadh,24.63,59.83,59,0,9.17
408,Faanui,-16.48,80.0,100,36,11.43
409,Rovaniemi,66.5,26.6,100,75,6.93
410,Kargil,34.56,-4.16,80,80,0.92
411,Taoudenni,22.68,54.35,42,0,12.21
412,Norrtalje,59.76,41.61,100,90,8.05
413,Muyezerskiy,63.93,28.34,81,88,9.42
414,Champagnole,46.75,50.0,81,0,20.8
415,Batticaloa,7.71,76.53,100,92,8.63
416,Igatpuri,19.7,63.66,62,0,3.27
417,Narrabri,-30.33,91.4,19,0,11.41
418,Te Anau,-45.41,64.7,65,64,7.29
419,Sand Springs,36.14,37.33,61,90,10.29
420,Exmouth,50.62,48.2,81,68,17.22
421,Kropotkin,45.43,22.49,79,0,3.15
422,Yongan,39.7,9.48,37,56,3.71
423,Ninh Binh,20.25,52.82,100,92,13.33
424,Machilipatnam,16.18,77.0,88,20,5.95
425,Lorengau,-2.02,83.87,100,76,8.86
426,Victoria,5.28,89.6,74,75,3.36
427,Landeck,47.14,37.26,78,75,8.05
428,Coihaique,-45.58,57.76,59,90,6.93
429,Bridgeton,38.77,23.47,92,5,9.17
430,Hasaki,35.73,44.24,45,75,8.05
431,Calhoun,34.5,39.81,100,90,5.82
432,Bereznehuvate,47.31,36.39,94,92,11.88
433,Santa Marta,11.24,80.6,69,20,13.87
434,Hovd,63.83,32.94,98,90,6.93
435,General Pico,-35.66,71.31,74,88,2.93
436,Kamenka,53.19,20.28,90,88,6.17
437,Bulembu,-25.95,62.6,100,75,1.12
438,Itigi,-5.7,62.9,97,92,4.27
439,Lata,30.78,37.47,58,0,2.26
440,Makokou,0.56,69.69,99,92,2.26
441,Teguise,29.06,60.8,93,0,5.82
442,Sitka,37.17,20.01,71,0,5.61
443,Sinnamary,5.38,79.82,93,48,10.98
444,Kawalu,-7.38,76.98,85,80,2.93
445,Martapura,-3.41,82.7,95,64,3.94
446,Mayo,63.59,28.4,74,90,10.29
447,Kondinskoye,59.65,12.86,67,80,7.18
448,Necochea,-38.55,72.26,50,8,17.81
449,Sinop,42.03,48.59,100,8,8.75
450,Lucapa,-8.42,67.67,95,80,3.94
451,Pocao de Pedras,-4.67,71.45,98,92,2.04
452,Kokopo,-4.34,84.41,99,32,5.84
453,Mayen,50.33,45.01,93,76,19.46
454,Zhigansk,66.77,-34.67,0,68,5.06
455,Mae Sai,20.44,75.2,94,75,2.24
456,Yichang,30.77,34.41,86,64,5.73
457,Zyryanka,65.73,-30.21,51,44,2.71
458,Madison,43.07,19.6,92,1,3.15
459,Auki,12.18,58.08,47,0,6.06
460,Ribeira Brava,32.65,62.6,88,75,11.41
461,Lebane,42.92,35.74,86,75,3.36
462,Ust-Kuyga,70.0,-44.79,0,20,2.93
463,Teahupoo,-17.83,84.2,70,40,13.87
464,Awjilah,29.14,41.12,79,0,2.82
465,Alofi,-19.06,80.6,78,92,11.41
466,Sandakan,5.84,82.4,88,90,4.7
467,Okha,53.59,24.87,82,32,19.15
468,Butembo,0.12,62.31,100,92,1.7
469,Anadyr,64.73,-14.81,75,20,8.95
470,Baijiantan,45.63,-24.05,35,12,5.39
471,Buriti Bravo,-5.84,72.03,95,24,1.81
472,Colac,-38.34,75.36,49,12,2.82
473,Goya,-29.14,66.63,64,0,10.76
474,Kiruna,67.86,19.4,92,80,9.17
475,Banfora,10.64,63.39,35,0,8.19
476,Kabin Buri,13.95,79.86,74,68,11.43
477,Berdigestyakh,62.1,-19.86,29,88,3.94
478,Birao,10.3,59.79,53,8,5.61
479,Camalu,30.85,46.11,95,0,1.81
480,Inndyr,67.03,32.0,100,0,8.05
481,Saint George,39.45,41.72,81,75,3.36
482,Arlit,18.74,51.24,56,0,4.16
483,Mae Hong Son,19.3,75.2,78,20,2.59
484,Marsh Harbour,26.54,75.81,100,92,17.36
485,Sao Miguel,4.52,61.41,100,32,2.59
486,Zalantun,48.0,1.07,30,0,3.94
487,Seoul,37.57,22.44,27,1,3.36
488,Lovington,32.94,30.2,92,1,4.7
489,Bartica,6.41,73.4,94,0,4.7
490,Namie,37.52,37.53,64,75,11.41
491,Dingle,11.0,83.37,74,36,13.22
492,Anito,12.45,82.74,96,80,16.58
493,La Rioja,-29.41,70.77,62,0,5.95
494,Nimaj,26.15,55.52,69,0,2.71
495,Matay,28.42,37.79,81,8,2.71
496,Gotsu,35.01,42.8,48,75,6.93
497,Amboasary,-25.04,77.0,78,20,16.11
498,Kibaya,-2.2,60.8,100,75,4.7
499,Klyuchi,52.25,-14.51,22,0,5.61
500,Slonim,53.09,28.7,86,0,11.54
501,Vostok,46.45,-5.82,54,36,5.17
502,Den Helder,52.96,48.78,81,75,29.97
503,Bathsheba,13.22,78.8,61,20,18.34
504,Codo,-8.13,79.32,100,56,2.59
505,Port Moresby,-9.47,93.2,52,40,17.22
506,Xam Nua,20.42,61.41,94,100,2.48
507,Matagami,9.67,66.63,45,68,6.96
508,Fuling,29.71,39.36,93,80,3.94
509,Awbari,26.59,36.26,73,0,2.82
510,Ampanihy,-24.69,70.19,92,0,8.3
511,New Glasgow,45.59,16.86,100,36,11.43
512,Okhotsk,59.36,9.8,100,8,6.73
513,Irbeyskoye,55.64,-19.86,29,24,3.94
514,Linjiang,41.81,6.33,52,0,4.5
515,Shihezi,44.3,-11.04,71,32,2.93
516,Gunnedah,-30.98,91.4,18,0,6.93
517,La Tuque,47.44,-3.84,76,32,2.15
518,Gizo,31.8,55.4,87,40,3.36
519,Salina Cruz,16.18,73.11,88,0,2.37
520,Mbanza-Ngungu,-5.25,66.05,99,68,2.71
521,Zhezkazgan,47.8,6.8,77,80,11.18
522,Nabire,-3.36,70.59,100,92,1.36
523,Attingal,8.7,86.0,70,20,6.73
524,Inta,66.04,19.92,75,88,5.84
525,Sao Sebastiao,-3.15,76.62,93,32,3.27
526,Beyneu,45.32,7.59,54,24,2.93
527,Mackenzie,55.34,23.0,73,90,3.36
528,Terrasini,38.15,59.0,72,40,13.87
529,Rawson,-43.3,77.52,27,48,13.67
530,Manicore,-5.81,75.41,96,32,1.81
531,Sainte-Maxime,43.31,55.02,71,0,17.22
532,Tongchuan,34.9,28.4,36,0,4.47
533,Manoel Urbano,-8.84,73.47,98,76,1.92
534,Green River,41.53,23.0,77,1,9.17
535,Tarakan,3.3,84.41,91,76,1.81
536,Maniitsoq,65.42,8.31,100,0,6.62
537,Omboue,-1.57,78.29,100,80,2.71
538,Ondangwa,-17.91,68.0,49,0,5.82
539,Ornskoldsvik,63.29,37.4,93,92,16.11
540,Menongue,-14.66,62.81,74,0,4.05
541,Flinders,-34.58,84.72,48,20,4.72
542,Leirvik,59.78,39.6,81,80,16.11
543,Jumla,29.28,19.29,67,0,2.37
544,Quatre Cocos,-20.21,78.8,83,75,10.29
545,Pacific Grove,36.62,51.62,73,1,4.7
546,Kofele,7.07,42.29,91,8,3.94
547,Cam Ranh,11.92,87.8,79,40,9.17
548,Pitkyaranta,61.57,29.6,90,92,18.37
549,Ambulu,-8.35,81.21,100,20,1.7
550,Price,39.6,24.98,92,1,6.93
551,Colares,38.8,46.35,93,0,3.36
552,Tongliao,43.61,10.34,34,0,5.17
553,Jackville,5.21,82.4,83,20,2.24
554,Sa Kaeo,13.8,79.86,74,68,11.43
555,Almeirim,39.21,46.38,93,0,3.36
556,Kalach-na-Donu,48.69,23.0,92,75,4.47
557,Shingu,33.72,46.4,49,75,16.11
558,Longyan,25.1,47.73,82,92,2.59
559,Sobolevo,54.43,30.14,95,88,8.75
560,Nemuro,43.32,24.8,45,40,6.93
561,Rio Gallegos,-51.62,53.6,37,0,16.11
562,Laguna,27.52,57.86,87,0,4.5
563,Maine-Soroa,13.21,57.5,48,0,7.29
564,Chapada dos Guimaraes,-15.46,75.2,94,0,2.24
565,Inverness,57.48,41.67,80,36,8.05
566,Kenai,60.55,30.02,81,90,13.87
567,Banjar,-7.37,82.29,83,64,3.6
568,Whitehorse,60.72,35.6,64,75,21.92
569,Kinna,57.51,39.2,93,90,13.87
570,Manado,1.49,87.8,70,40,8.05
571,Christchurch,-43.53,75.2,60,32,4.7
572,Bowen,-20.01,77.0,88,90,18.34
573,Meulaboh,4.14,81.93,100,0,3.6
